FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,FromType,ToType
1375,2343,-0.4148684775,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
32,2343,-0.4105914829,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
171,2343,0.4105914829,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2313,2343,-0.4106107428,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1350,2343,0.4106492707,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1824,2343,-0.4063144883,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1449,2343,0.4063144883,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2363,2343,0.4063144883,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2034,2343,0.4063144883,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2187,2343,0.4063144883,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
25,2343,0.4020374937,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
691,2343,0.4020374937,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2319,2343,0.3977604991,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2364,2343,-0.3977604991,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2325,2343,0.3849295152,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2365,2343,-0.3785317785,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1179,2343,-0.7655820359,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1545,2343,0.7698590305,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1799,2343,-0.7655820359,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2366,2343,0.7570280466,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1190,2343,-0.7441970628,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2367,2343,0.7441970628,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1691,2343,-0.7356430736,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1822,2343,-0.7356430736,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
866,2343,0.7356430736,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1800,2343,-0.6971501221,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1187,2343,-0.6928731274,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
240,2343,0.6885961328,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2092,2343,-0.6843191382,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
649,2343,0.6629341651,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
647,2343,0.6629341651,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
650,2343,0.6543801759,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1793,2343,-0.6415491921,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2368,2343,0.6329952028,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2033,2343,-0.6329952028,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1198,2343,-0.6287182082,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1466,2343,0.6287182082,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
889,2343,0.6244412136,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2369,2343,0.620164219,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2330,2343,0.6073332352,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
178,2343,-0.6158872244,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2370,2343,0.6073332352,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2371,2343,0.6073332352,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1350,2343,0.6073332352,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2127,2343,-0.6116102298,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
