FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation
29497,29498,0.5850317677548945,logFC,AMSCP,D00,sc,nonFFA
29499,29498,0.2172172846232772,logFC,AMSCP,D00,sc,nonFFA
29500,29498,0.5043575470846179,logFC,AMSCP,D00,sc,nonFFA
5234,29498,-0.5116154113376843,logFC,AMSCP,D00,sc,nonFFA
29501,29498,-0.5262538214196965,logFC,AMSCP,D00,sc,nonFFA
29502,29498,0.3195917821835,logFC,AMSCP,D00,sc,nonFFA
29503,29498,-0.5808179320590912,logFC,AMSCP,D00,sc,nonFFA
1618,29498,0.2845666329740668,logFC,AMSCP,D00,sc,nonFFA
29504,29498,0.2881869576851338,logFC,AMSCP,D00,sc,nonFFA
29505,29498,0.459203677970475,logFC,AMSCP,D00,sc,nonFFA
29506,29498,-0.5313007605322873,logFC,AMSCP,D00,sc,nonFFA
29507,29498,-0.2643440111934979,logFC,AMSCP,D00,sc,nonFFA
1363,29498,0.3770781950847877,logFC,AMSCP,D00,sc,nonFFA
29508,29498,0.629461478714063,logFC,AMSCP,D00,sc,nonFFA
228,29498,-0.2109308399763861,logFC,AMSCP,D00,sc,nonFFA
29509,29498,-0.7283634252921857,logFC,AMSCP,D00,sc,nonFFA
29510,29498,-0.6096399852295123,logFC,AMSCP,D00,sc,nonFFA
29511,29498,0.2352990749470477,logFC,AMSCP,D00,sc,nonFFA
29512,29498,-0.184613440477726,logFC,AMSCP,D00,sc,nonFFA
29513,29498,-0.351545690981297,logFC,AMSCP,D00,sc,nonFFA
29514,29498,-0.1995826458636838,logFC,AMSCP,D00,sc,nonFFA
29515,29498,0.5226527661833283,logFC,AMSCP,D00,sc,nonFFA
29516,29498,-0.2036242493278158,logFC,AMSCP,D00,sc,nonFFA
29517,29498,0.3705877973258318,logFC,AMSCP,D00,sc,nonFFA
29518,29498,-0.2890597820119897,logFC,AMSCP,D00,sc,nonFFA
29519,29498,0.7101795090178248,logFC,AMSCP,D00,sc,nonFFA
29520,29498,0.4699197302467586,logFC,AMSCP,D00,sc,nonFFA
29521,29498,0.3718448487081892,logFC,AMSCP,D00,sc,nonFFA
29522,29498,-0.629421564657479,logFC,AMSCP,D00,sc,nonFFA
29523,29498,0.3894160886803872,logFC,AMSCP,D00,sc,nonFFA
29524,29498,0.4506322317354053,logFC,AMSCP,D00,sc,nonFFA
29525,29498,-0.4250567344063519,logFC,AMSCP,D00,sc,nonFFA
29526,29498,0.4239342785876706,logFC,AMSCP,D00,sc,nonFFA
29527,29498,-0.2930560158009093,logFC,AMSCP,D00,sc,nonFFA
29528,29498,-0.4720202042939964,logFC,AMSCP,D00,sc,nonFFA
29529,29498,-0.56910381528367,logFC,AMSCP,D00,sc,nonFFA
29530,29498,-0.2583943520230441,logFC,AMSCP,D00,sc,nonFFA
29531,29498,-0.2979413019223565,logFC,AMSCP,D00,sc,nonFFA
29532,29498,1.383438122085526,logFC,AMSCP,D00,sc,nonFFA
29533,29498,-0.1603941419074488,logFC,AMSCP,D00,sc,nonFFA
29534,29498,0.2931202579370489,logFC,AMSCP,D00,sc,nonFFA
29535,29498,0.3590462838151074,logFC,AMSCP,D00,sc,nonFFA
29536,29498,0.266374065777233,logFC,AMSCP,D00,sc,nonFFA
29537,29498,0.454768558440778,logFC,AMSCP,D00,sc,nonFFA
5692,29498,0.3828599465906301,logFC,AMSCP,D00,sc,nonFFA
2395,29498,0.6176995039189488,logFC,AMSCP,D00,sc,nonFFA
29538,29498,-0.2766064881655028,logFC,AMSCP,D00,sc,nonFFA
29539,29498,-0.1803115491779819,logFC,AMSCP,D00,sc,nonFFA
29540,29498,0.549280039201356,logFC,AMSCP,D00,sc,nonFFA
29541,29498,1.4777119930287312,logFC,AMSCP,D00,sc,nonFFA
29542,29498,0.4235392071531607,logFC,AMSCP,D00,sc,nonFFA
29543,29498,-0.2409484384589895,logFC,AMSCP,D00,sc,nonFFA
29544,29498,0.2836234320109868,logFC,AMSCP,D00,sc,nonFFA
29545,29498,0.4835810570163164,logFC,AMSCP,D00,sc,nonFFA
29546,29498,0.3167428602367299,logFC,AMSCP,D00,sc,nonFFA
29547,29498,-0.2114424012194151,logFC,AMSCP,D00,sc,nonFFA
29548,29498,-0.6687528508113669,logFC,AMSCP,D00,sc,nonFFA
29549,29498,0.5012678027951369,logFC,AMSCP,D00,sc,nonFFA
29550,29498,-0.258815077292392,logFC,AMSCP,D00,sc,nonFFA
29551,29498,0.6325093101389379,logFC,AMSCP,D00,sc,nonFFA
29552,29498,0.2771561574578399,logFC,AMSCP,D00,sc,nonFFA
29553,29498,0.544953701728661,logFC,AMSCP,D00,sc,nonFFA
29554,29498,-0.226425311238883,logFC,AMSCP,D00,sc,nonFFA
29555,29498,-0.3787823891897855,logFC,AMSCP,D00,sc,nonFFA
29556,29498,-0.3876621762241913,logFC,AMSCP,D00,sc,nonFFA
29557,29498,-0.565076626629821,logFC,AMSCP,D00,sc,nonFFA
29558,29498,-0.3802446682096467,logFC,AMSCP,D00,sc,nonFFA
29559,29498,0.6727746901999069,logFC,AMSCP,D00,sc,nonFFA
29560,29498,0.7963098765165263,logFC,AMSCP,D00,sc,nonFFA
29561,29498,0.5678219372689197,logFC,AMSCP,D00,sc,nonFFA
29562,29498,-0.2246295541989466,logFC,AMSCP,D00,sc,nonFFA
29563,29498,0.6912858382757571,logFC,AMSCP,D00,sc,nonFFA
29564,29498,0.4951905346840924,logFC,AMSCP,D00,sc,nonFFA
29565,29498,-0.2050610371911226,logFC,AMSCP,D00,sc,nonFFA
29566,29498,0.4269342529159124,logFC,AMSCP,D00,sc,nonFFA
29567,29498,-0.3335151575940483,logFC,AMSCP,D00,sc,nonFFA
29568,29498,1.4363696907257275,logFC,AMSCP,D00,sc,nonFFA
29569,29498,-0.2132087790133102,logFC,AMSCP,D00,sc,nonFFA
2684,29498,0.6402868061405056,logFC,AMSCP,D00,sc,nonFFA
29570,29498,-0.5622440337070872,logFC,AMSCP,D00,sc,nonFFA
29571,29498,-0.7299953093449777,logFC,AMSCP,D00,sc,nonFFA
29572,29498,-0.3705571549790974,logFC,AMSCP,D00,sc,nonFFA
29573,29498,-0.3175365854048339,logFC,AMSCP,D00,sc,nonFFA
29574,29498,-0.361294427738155,logFC,AMSCP,D00,sc,nonFFA
3779,29498,0.3646450628827875,logFC,AMSCP,D00,sc,nonFFA
29575,29498,-0.3664914854428809,logFC,AMSCP,D00,sc,nonFFA
29576,29498,-0.3403291098585983,logFC,AMSCP,D00,sc,nonFFA
29577,29498,-0.5148140214555743,logFC,AMSCP,D00,sc,nonFFA
29578,29498,-0.6850021867982555,logFC,AMSCP,D00,sc,nonFFA
29579,29498,0.2154756167908063,logFC,AMSCP,D00,sc,nonFFA
29580,29498,-0.2965630283519191,logFC,AMSCP,D00,sc,nonFFA
29581,29498,-0.3971380441648444,logFC,AMSCP,D00,sc,nonFFA
29582,29498,-0.4258475466343117,logFC,AMSCP,D00,sc,nonFFA
5237,29498,-0.1864911284332019,logFC,AMSCP,D00,sc,nonFFA
29583,29498,-1.309393767620836,logFC,AMSCP,D00,sc,nonFFA
29584,29498,-0.4772911570860333,logFC,AMSCP,D00,sc,nonFFA
29585,29498,0.2283967332904759,logFC,AMSCP,D00,sc,nonFFA
29586,29498,-0.4299376479702581,logFC,AMSCP,D00,sc,nonFFA
29587,29498,-0.6103286380954653,logFC,AMSCP,D00,sc,nonFFA
29588,29498,-0.2698340855030327,logFC,AMSCP,D00,sc,nonFFA
29589,29498,-0.5084521780014488,logFC,AMSCP,D00,sc,nonFFA
29590,29498,0.5941121113711113,logFC,AMSCP,D00,sc,nonFFA
3810,29498,-0.1793461299778916,logFC,AMSCP,D00,sc,nonFFA
29591,29498,-0.2218463406205573,logFC,AMSCP,D00,sc,nonFFA
29592,29498,-0.1734588897444627,logFC,AMSCP,D00,sc,nonFFA
29593,29498,-0.4834056668325119,logFC,AMSCP,D00,sc,nonFFA
29594,29498,0.2356491496784889,logFC,AMSCP,D00,sc,nonFFA
4883,29498,-0.1389638204091826,logFC,AMSCP,D00,sc,nonFFA
29595,29498,-0.2320591836133571,logFC,AMSCP,D00,sc,nonFFA
29596,29498,-0.5598945229573163,logFC,AMSCP,D00,sc,nonFFA
