FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay
40117,32073,-0.6714881544,wilcox_effsize,hWAT,D00
40118,32073,0.6800421436,wilcox_effsize,hWAT,D00
40119,32073,-0.6501031813,wilcox_effsize,hWAT,D00
40120,32073,-0.6501031813,wilcox_effsize,hWAT,D00
40121,32073,-0.620164219,wilcox_effsize,hWAT,D00
40122,32073,-0.5945022513,wilcox_effsize,hWAT,D00
40123,32073,-0.4961313752,wilcox_effsize,hWAT,D00
40124,32073,-0.4833003914,wilcox_effsize,hWAT,D00
40125,32073,-0.4747464021,wilcox_effsize,hWAT,D00
40126,32073,-0.4747464021,wilcox_effsize,hWAT,D00
40127,32073,-0.4704694075,wilcox_effsize,hWAT,D00
40128,32073,-0.6458261867,wilcox_effsize,hWAT,D08
40129,32073,-0.6458261867,wilcox_effsize,hWAT,D08
40130,32073,-0.6543801759,wilcox_effsize,hWAT,D08
40131,32073,0.6158872244,wilcox_effsize,hWAT,D08
40122,32073,-0.5902252567,wilcox_effsize,hWAT,D08
40132,32073,-0.5902252567,wilcox_effsize,hWAT,D08
40133,32073,-0.5945022513,wilcox_effsize,hWAT,D08
40119,32073,-0.5731172783,wilcox_effsize,hWAT,D08
40134,32073,0.5688402836,wilcox_effsize,hWAT,D08
40118,32073,0.5602862944,wilcox_effsize,hWAT,D08
40120,32073,-0.5602862944,wilcox_effsize,hWAT,D08
40127,32073,-0.5602862944,wilcox_effsize,hWAT,D08
40123,32073,-0.5560092998,wilcox_effsize,hWAT,D08
40135,32073,-0.543178316,wilcox_effsize,hWAT,D08
40136,32073,-0.5260703375,wilcox_effsize,hWAT,D08
40137,32073,-0.5175163483,wilcox_effsize,hWAT,D08
40138,32073,-0.508962359,wilcox_effsize,hWAT,D08
40139,32073,0.508962359,wilcox_effsize,hWAT,D08
40140,32073,-0.5046853644,wilcox_effsize,hWAT,D08
40141,32073,-0.4961313752,wilcox_effsize,hWAT,D08
40142,32073,-0.4961313752,wilcox_effsize,hWAT,D08
40143,32073,0.4918543806,wilcox_effsize,hWAT,D08
40144,32073,0.4833003914,wilcox_effsize,hWAT,D08
40145,32073,-0.4833003914,wilcox_effsize,hWAT,D08
40146,32073,-0.4919466869,wilcox_effsize,hWAT,D08
40147,32073,0.4790233968,wilcox_effsize,hWAT,D08
40148,32073,-0.4747464021,wilcox_effsize,hWAT,D08
40149,32073,-0.4747464021,wilcox_effsize,hWAT,D08
40150,32073,0.4790458666,wilcox_effsize,hWAT,D08
40151,32073,-0.4619154183,wilcox_effsize,hWAT,D08
40152,32073,0.4619154183,wilcox_effsize,hWAT,D08
40121,32073,-0.4533614291,wilcox_effsize,hWAT,D08
40153,32073,-0.4490844345,wilcox_effsize,hWAT,D08
40154,32073,0.4490844345,wilcox_effsize,hWAT,D08
40155,32073,0.4448074398,wilcox_effsize,hWAT,D08
40156,32073,-0.431976456,wilcox_effsize,hWAT,D08
40157,32073,-0.4276994614,wilcox_effsize,hWAT,D08
40158,32073,-0.4276994614,wilcox_effsize,hWAT,D08
40159,32073,-0.4191454722,wilcox_effsize,hWAT,D08
40160,32073,-0.4191454722,wilcox_effsize,hWAT,D08
40161,32073,-0.4191454722,wilcox_effsize,hWAT,D08
40162,32073,-0.4255809261,wilcox_effsize,hWAT,D08
40163,32073,-0.4298782869,wilcox_effsize,hWAT,D08
40164,32073,-0.4234224668,wilcox_effsize,hWAT,D08
40117,32073,-0.4148684775,wilcox_effsize,hWAT,D08
40165,32073,-0.4148684775,wilcox_effsize,hWAT,D08
40166,32073,-0.4105914829,wilcox_effsize,hWAT,D08
40167,32073,0.4105914829,wilcox_effsize,hWAT,D08
40168,32073,-0.4106107428,wilcox_effsize,hWAT,D08
40169,32073,0.4106492707,wilcox_effsize,hWAT,D08
40170,32073,-0.4063144883,wilcox_effsize,hWAT,D08
40171,32073,0.4063144883,wilcox_effsize,hWAT,D08
40172,32073,0.4063144883,wilcox_effsize,hWAT,D08
40173,32073,0.4063144883,wilcox_effsize,hWAT,D08
40174,32073,0.4063144883,wilcox_effsize,hWAT,D08
40175,32073,0.4020374937,wilcox_effsize,hWAT,D08
40176,32073,0.4020374937,wilcox_effsize,hWAT,D08
40177,32073,0.3977604991,wilcox_effsize,hWAT,D08
40178,32073,-0.3977604991,wilcox_effsize,hWAT,D08
40179,32073,0.3849295152,wilcox_effsize,hWAT,D08
