FromID,ToID,Relation_type
40317,6623,ORorBETA
40318,6641,ORorBETA
40319,6642,ORorBETA
40319,6643,ORorBETA
40319,6644,ORorBETA
40320,6645,ORorBETA
40321,6652,ORorBETA
40321,6653,ORorBETA
40324,6669,ORorBETA
40325,6671,ORorBETA
40340,6750,ORorBETA
40340,6752,ORorBETA
40351,6808,ORorBETA
40351,6812,ORorBETA
40351,6813,ORorBETA
40351,6814,ORorBETA
40351,6816,ORorBETA
40344,6825,ORorBETA
40344,6826,ORorBETA
40357,6849,ORorBETA
40361,6872,ORorBETA
40361,6874,ORorBETA
40361,6876,ORorBETA
40389,7000,ORorBETA
40398,7026,ORorBETA
40404,7031,ORorBETA
40404,7033,ORorBETA
40404,7035,ORorBETA
40404,7037,ORorBETA
40404,7039,ORorBETA
40404,7041,ORorBETA
40404,7042,ORorBETA
40404,7043,ORorBETA
40404,7044,ORorBETA
40404,7046,ORorBETA
40404,7047,ORorBETA
40404,7048,ORorBETA
40404,7049,ORorBETA
40404,7050,ORorBETA
40416,7101,ORorBETA
40398,7153,ORorBETA
40436,7176,ORorBETA
40436,7177,ORorBETA
40437,7180,ORorBETA
40440,7184,ORorBETA
40442,7219,ORorBETA
40442,7220,ORorBETA
40442,7221,ORorBETA
40442,7222,ORorBETA
40442,7224,ORorBETA
40442,7225,ORorBETA
40442,7227,ORorBETA
40442,7228,ORorBETA
40442,7229,ORorBETA
40442,7230,ORorBETA
40442,7232,ORorBETA
40442,7233,ORorBETA
40442,7234,ORorBETA
40442,7236,ORorBETA
40448,7277,ORorBETA
40448,7279,ORorBETA
40448,7280,ORorBETA
40448,7282,ORorBETA
40448,7283,ORorBETA
40448,7285,ORorBETA
40448,7287,ORorBETA
40449,7288,ORorBETA
40449,7290,ORorBETA
40450,7291,ORorBETA
40451,7293,ORorBETA
40453,7304,ORorBETA
40453,7305,ORorBETA
40457,7339,ORorBETA
40461,7349,ORorBETA
40461,7351,ORorBETA
40465,7363,ORorBETA
40467,7372,ORorBETA
40481,7399,ORorBETA
40484,7415,ORorBETA
40484,7416,ORorBETA
40485,7415,ORorBETA
40485,7417,ORorBETA
40487,7420,ORorBETA
40488,7422,ORorBETA
40488,7424,ORorBETA
40491,7433,ORorBETA
40491,7434,ORorBETA
40491,7435,ORorBETA
40491,7436,ORorBETA
40491,7437,ORorBETA
40491,7438,ORorBETA
40491,7440,ORorBETA
40504,7505,ORorBETA
40508,7514,ORorBETA
40508,7515,ORorBETA
40516,7528,ORorBETA
40518,7534,ORorBETA
40518,7535,ORorBETA
40518,7536,ORorBETA
40518,7537,ORorBETA
40521,7549,ORorBETA
40542,7649,ORorBETA
40542,7650,ORorBETA
40544,7651,ORorBETA
40547,7660,ORorBETA
40548,6705,ORorBETA
40548,7666,ORorBETA
40549,7668,ORorBETA
40549,7669,ORorBETA
