FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay
28810,28811,-0.6714881544,wilcox_effsize,hWAT,D00
28812,28811,0.6800421436,wilcox_effsize,hWAT,D00
28813,28811,-0.6501031813,wilcox_effsize,hWAT,D00
28814,28811,-0.6501031813,wilcox_effsize,hWAT,D00
28815,28811,-0.620164219,wilcox_effsize,hWAT,D00
28816,28811,-0.5945022513,wilcox_effsize,hWAT,D00
28817,28811,-0.4961313752,wilcox_effsize,hWAT,D00
28818,28811,-0.4833003914,wilcox_effsize,hWAT,D00
28819,28811,-0.4747464021,wilcox_effsize,hWAT,D00
28820,28811,-0.4747464021,wilcox_effsize,hWAT,D00
28821,28811,-0.4704694075,wilcox_effsize,hWAT,D00
28822,28811,-0.6458261867,wilcox_effsize,hWAT,D08
28823,28811,-0.6458261867,wilcox_effsize,hWAT,D08
28824,28811,-0.6543801759,wilcox_effsize,hWAT,D08
28825,28811,0.6158872244,wilcox_effsize,hWAT,D08
28816,28811,-0.5902252567,wilcox_effsize,hWAT,D08
28826,28811,-0.5902252567,wilcox_effsize,hWAT,D08
28827,28811,-0.5945022513,wilcox_effsize,hWAT,D08
28813,28811,-0.5731172783,wilcox_effsize,hWAT,D08
28828,28811,0.5688402836,wilcox_effsize,hWAT,D08
28812,28811,0.5602862944,wilcox_effsize,hWAT,D08
28814,28811,-0.5602862944,wilcox_effsize,hWAT,D08
28821,28811,-0.5602862944,wilcox_effsize,hWAT,D08
28817,28811,-0.5560092998,wilcox_effsize,hWAT,D08
28829,28811,-0.543178316,wilcox_effsize,hWAT,D08
28830,28811,-0.5260703375,wilcox_effsize,hWAT,D08
28831,28811,-0.5175163483,wilcox_effsize,hWAT,D08
28832,28811,-0.508962359,wilcox_effsize,hWAT,D08
28833,28811,0.508962359,wilcox_effsize,hWAT,D08
28834,28811,-0.5046853644,wilcox_effsize,hWAT,D08
28835,28811,-0.4961313752,wilcox_effsize,hWAT,D08
28836,28811,-0.4961313752,wilcox_effsize,hWAT,D08
28837,28811,0.4918543806,wilcox_effsize,hWAT,D08
28838,28811,0.4833003914,wilcox_effsize,hWAT,D08
28839,28811,-0.4833003914,wilcox_effsize,hWAT,D08
28840,28811,-0.4919466869,wilcox_effsize,hWAT,D08
28841,28811,0.4790233968,wilcox_effsize,hWAT,D08
28842,28811,-0.4747464021,wilcox_effsize,hWAT,D08
28843,28811,-0.4747464021,wilcox_effsize,hWAT,D08
28844,28811,0.4790458666,wilcox_effsize,hWAT,D08
28845,28811,-0.4619154183,wilcox_effsize,hWAT,D08
28846,28811,0.4619154183,wilcox_effsize,hWAT,D08
28815,28811,-0.4533614291,wilcox_effsize,hWAT,D08
28847,28811,-0.4490844345,wilcox_effsize,hWAT,D08
28848,28811,0.4490844345,wilcox_effsize,hWAT,D08
28849,28811,0.4448074398,wilcox_effsize,hWAT,D08
28850,28811,-0.431976456,wilcox_effsize,hWAT,D08
28851,28811,-0.4276994614,wilcox_effsize,hWAT,D08
28852,28811,-0.4276994614,wilcox_effsize,hWAT,D08
28853,28811,-0.4191454722,wilcox_effsize,hWAT,D08
28854,28811,-0.4191454722,wilcox_effsize,hWAT,D08
28855,28811,-0.4191454722,wilcox_effsize,hWAT,D08
28856,28811,-0.4255809261,wilcox_effsize,hWAT,D08
28857,28811,-0.4298782869,wilcox_effsize,hWAT,D08
28858,28811,-0.4234224668,wilcox_effsize,hWAT,D08
28810,28811,-0.4148684775,wilcox_effsize,hWAT,D08
28859,28811,-0.4148684775,wilcox_effsize,hWAT,D08
28860,28811,-0.4105914829,wilcox_effsize,hWAT,D08
28861,28811,0.4105914829,wilcox_effsize,hWAT,D08
28862,28811,-0.4106107428,wilcox_effsize,hWAT,D08
28863,28811,0.4106492707,wilcox_effsize,hWAT,D08
