FromID,ToID,Relation_type,FromType,ToType
177,178,VEP,Gene,SNP
177,181,VEP,Gene,SNP
182,183,VEP,Gene,SNP
177,184,VEP,Gene,SNP
185,186,VEP,Gene,SNP
187,188,VEP,Gene,SNP
189,190,VEP,Gene,SNP
193,194,VEP,Gene,SNP
182,195,VEP,Gene,SNP
177,198,VEP,Gene,SNP
