FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
72,25,0.255614058217591,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
73,4,0.711598583937933,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
74,2,-0.190747965995059,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
75,16,-0.264626906948464,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
76,48,-0.187843568461913,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
77,32,0.369413188615559,lm_estimate,AMSC,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
78,48,-0.268286154734671,lm_estimate,AMSC,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
79,25,-0.278630725360843,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
80,25,-0.362603712080546,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
81,32,-0.210290339289074,lm_estimate,AMSC,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
82,71,0.248232536081967,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
83,34,0.376949298603512,lm_estimate,AMSC-BODIPYNeg,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
84,6,0.653527065249102,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
85,38,0.277452357412296,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
86,32,-0.418462935958325,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
87,43,0.24082362658706,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
88,8,0.207025942440811,lm_estimate,AMSC-BODIPYNeg,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
89,2,0.3369551212437,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
90,6,-0.850391310811287,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
91,38,0.277452357412296,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
92,40,0.229820839376901,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
93,10,-0.169004994931854,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
96,34,0.376969708273158,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
97,14,0.276732097486904,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
98,14,0.46777147091451,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
99,43,0.496874792937289,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
100,12,0.486656966650346,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
101,2,0.371378106143252,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
102,16,0.235135389938039,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
