FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
2789,27979,MoA,Preclinical,Gene,Chemical_Compound
2519,27979,MoA,Preclinical,Gene,Chemical_Compound
11150,27979,MoA,Preclinical,Gene,Chemical_Compound
4229,27979,MoA,Preclinical,Gene,Chemical_Compound
26109,27979,MoA,Preclinical,Gene,Chemical_Compound
27980,27979,MoA,Preclinical,Gene,Chemical_Compound
26775,27979,MoA,Preclinical,Gene,Chemical_Compound
4909,27979,MoA,Preclinical,Gene,Chemical_Compound
25642,27979,MoA,Preclinical,Gene,Chemical_Compound
14109,28153,MoA,Preclinical,Gene,Chemical_Compound
6184,28288,MoA,Launched,Gene,Chemical_Compound
28289,28288,MoA,Launched,Gene,Chemical_Compound
2925,28288,MoA,Launched,Gene,Chemical_Compound
26183,28288,MoA,Launched,Gene,Chemical_Compound
26185,28288,MoA,Launched,Gene,Chemical_Compound
26194,28288,MoA,Launched,Gene,Chemical_Compound
28290,28288,MoA,Launched,Gene,Chemical_Compound
5063,28288,MoA,Launched,Gene,Chemical_Compound
28291,28288,MoA,Launched,Gene,Chemical_Compound
15049,28288,MoA,Launched,Gene,Chemical_Compound
11680,28288,MoA,Launched,Gene,Chemical_Compound
5906,28288,MoA,Launched,Gene,Chemical_Compound
8124,28288,MoA,Launched,Gene,Chemical_Compound
8510,28288,MoA,Launched,Gene,Chemical_Compound
11401,28295,MoA,Phase 3,Gene,Chemical_Compound
28296,28295,MoA,Phase 3,Gene,Chemical_Compound
9423,28295,MoA,Phase 3,Gene,Chemical_Compound
15014,28295,MoA,Phase 3,Gene,Chemical_Compound
3618,28295,MoA,Phase 3,Gene,Chemical_Compound
28297,28295,MoA,Phase 3,Gene,Chemical_Compound
5731,28314,MoA,Launched,Gene,Chemical_Compound
15001,28314,MoA,Launched,Gene,Chemical_Compound
25664,28314,MoA,Launched,Gene,Chemical_Compound
28315,28314,MoA,Launched,Gene,Chemical_Compound
7521,28335,MoA,Phase 3,Gene,Chemical_Compound
4898,28335,MoA,Phase 3,Gene,Chemical_Compound
13137,28335,MoA,Phase 3,Gene,Chemical_Compound
2607,28335,MoA,Phase 3,Gene,Chemical_Compound
7226,28335,MoA,Phase 3,Gene,Chemical_Compound
28336,28335,MoA,Phase 3,Gene,Chemical_Compound
4091,28352,MoA,Phase 2,Gene,Chemical_Compound
12792,28352,MoA,Phase 2,Gene,Chemical_Compound
5605,28352,MoA,Phase 2,Gene,Chemical_Compound
12222,28473,MoA,Preclinical,Gene,Chemical_Compound
25899,28577,MoA,Launched,Gene,Chemical_Compound
28316,28598,MoA,Phase 3,Gene,Chemical_Compound
2925,28598,MoA,Phase 3,Gene,Chemical_Compound
26183,28598,MoA,Phase 3,Gene,Chemical_Compound
26185,28598,MoA,Phase 3,Gene,Chemical_Compound
4400,28598,MoA,Phase 3,Gene,Chemical_Compound
10062,28598,MoA,Phase 3,Gene,Chemical_Compound
7521,28598,MoA,Phase 3,Gene,Chemical_Compound
4898,28598,MoA,Phase 3,Gene,Chemical_Compound
28310,28598,MoA,Phase 3,Gene,Chemical_Compound
27068,28598,MoA,Phase 3,Gene,Chemical_Compound
28318,28598,MoA,Phase 3,Gene,Chemical_Compound
14712,28598,MoA,Phase 3,Gene,Chemical_Compound
13350,28598,MoA,Phase 3,Gene,Chemical_Compound
26324,28598,MoA,Phase 3,Gene,Chemical_Compound
28321,28598,MoA,Phase 3,Gene,Chemical_Compound
28322,28598,MoA,Phase 3,Gene,Chemical_Compound
28323,28598,MoA,Phase 3,Gene,Chemical_Compound
28599,28598,MoA,Phase 3,Gene,Chemical_Compound
6268,28598,MoA,Phase 3,Gene,Chemical_Compound
26189,28598,MoA,Phase 3,Gene,Chemical_Compound
13075,28598,MoA,Phase 3,Gene,Chemical_Compound
14016,28598,MoA,Phase 3,Gene,Chemical_Compound
28290,28598,MoA,Phase 3,Gene,Chemical_Compound
5063,28598,MoA,Phase 3,Gene,Chemical_Compound
28600,28598,MoA,Phase 3,Gene,Chemical_Compound
12133,28598,MoA,Phase 3,Gene,Chemical_Compound
28291,28598,MoA,Phase 3,Gene,Chemical_Compound
6211,28598,MoA,Phase 3,Gene,Chemical_Compound
15049,28598,MoA,Phase 3,Gene,Chemical_Compound
