FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
10795,26908,MoA,Phase 2,Gene,Chemical_Compound
9617,26908,MoA,Phase 2,Gene,Chemical_Compound
4331,26908,MoA,Phase 2,Gene,Chemical_Compound
6791,26908,MoA,Phase 2,Gene,Chemical_Compound
14994,26908,MoA,Phase 2,Gene,Chemical_Compound
14713,26908,MoA,Phase 2,Gene,Chemical_Compound
9845,26908,MoA,Phase 2,Gene,Chemical_Compound
4745,26908,MoA,Phase 2,Gene,Chemical_Compound
13007,26908,MoA,Phase 2,Gene,Chemical_Compound
11396,26908,MoA,Phase 2,Gene,Chemical_Compound
