FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay
41143,32845,-0.6329952028,wilcox_effsize,hWAT,D14
41073,32845,-0.6287182082,wilcox_effsize,hWAT,D14
41144,32845,0.6287182082,wilcox_effsize,hWAT,D14
41145,32845,0.6244412136,wilcox_effsize,hWAT,D14
41146,32845,0.620164219,wilcox_effsize,hWAT,D14
41147,32845,0.6073332352,wilcox_effsize,hWAT,D14
41148,32845,-0.6158872244,wilcox_effsize,hWAT,D14
41149,32845,0.6073332352,wilcox_effsize,hWAT,D14
41150,32845,0.6073332352,wilcox_effsize,hWAT,D14
41120,32845,0.6073332352,wilcox_effsize,hWAT,D14
41091,32845,-0.6116102298,wilcox_effsize,hWAT,D14
41151,32845,0.6116102298,wilcox_effsize,hWAT,D14
41127,32845,0.6116102298,wilcox_effsize,hWAT,D14
41123,32845,0.6073332352,wilcox_effsize,hWAT,D14
41152,32845,0.6116102298,wilcox_effsize,hWAT,D14
41153,32845,0.6030562406,wilcox_effsize,hWAT,D14
41154,32845,-0.5945022513,wilcox_effsize,hWAT,D14
41105,32845,0.5945022513,wilcox_effsize,hWAT,D14
41103,32845,0.5945022513,wilcox_effsize,hWAT,D14
41094,32845,0.5859482621,wilcox_effsize,hWAT,D14
41078,32845,-0.5816712675,wilcox_effsize,hWAT,D14
41155,32845,-0.5816712675,wilcox_effsize,hWAT,D14
41156,32845,0.5773942729,wilcox_effsize,hWAT,D14
41157,32845,0.5773942729,wilcox_effsize,hWAT,D14
41158,32845,0.5731172783,wilcox_effsize,hWAT,D14
41113,32845,-0.5731172783,wilcox_effsize,hWAT,D14
41159,32845,0.5602862944,wilcox_effsize,hWAT,D14
41093,32845,-0.5560092998,wilcox_effsize,hWAT,D14
41160,32845,-0.5560092998,wilcox_effsize,hWAT,D14
41129,32845,-0.5517323052,wilcox_effsize,hWAT,D14
41161,32845,0.5474553106,wilcox_effsize,hWAT,D14
41162,32845,0.5688669666,wilcox_effsize,hWAT,D14
41086,32845,-0.5389013213,wilcox_effsize,hWAT,D14
41163,32845,-0.5346243267,wilcox_effsize,hWAT,D14
41164,32845,-0.5346243267,wilcox_effsize,hWAT,D14
41088,32845,-0.5303473321,wilcox_effsize,hWAT,D14
41107,32845,-0.5303473321,wilcox_effsize,hWAT,D14
41128,32845,0.5453679759,wilcox_effsize,hWAT,D14
41165,32845,0.5260703375,wilcox_effsize,hWAT,D14
41166,32845,-0.5217933429,wilcox_effsize,hWAT,D14
41112,32845,-0.5175163483,wilcox_effsize,hWAT,D14
41167,32845,-0.5132393537,wilcox_effsize,hWAT,D14
41168,32845,0.5132393537,wilcox_effsize,hWAT,D14
41169,32845,-0.5132393537,wilcox_effsize,hWAT,D14
41170,32845,-0.5004083698,wilcox_effsize,hWAT,D14
41079,32845,-0.5004083698,wilcox_effsize,hWAT,D14
41171,32845,0.4961313752,wilcox_effsize,hWAT,D14
41080,32845,-0.4961313752,wilcox_effsize,hWAT,D14
41172,32845,0.4918543806,wilcox_effsize,hWAT,D14
41173,32845,0.4918543806,wilcox_effsize,hWAT,D14
41174,32845,-0.5068714129,wilcox_effsize,hWAT,D14
41175,32845,0.487577386,wilcox_effsize,hWAT,D14
41176,32845,0.487577386,wilcox_effsize,hWAT,D14
41131,32845,-0.487577386,wilcox_effsize,hWAT,D14
41177,32845,0.4833003914,wilcox_effsize,hWAT,D14
41178,32845,-0.4833003914,wilcox_effsize,hWAT,D14
41179,32845,-0.4833003914,wilcox_effsize,hWAT,D14
41180,32845,0.4790233968,wilcox_effsize,hWAT,D14
41181,32845,-0.4747464021,wilcox_effsize,hWAT,D14
