FromID,ToID,Relation_type
29328,8150,ORorBETA
29328,7985,ORorBETA
29328,7981,ORorBETA
29328,7989,ORorBETA
29338,8269,ORorBETA
29338,8270,ORorBETA
29344,8294,ORorBETA
29327,6716,ORorBETA
29327,8323,ORorBETA
29327,8324,ORorBETA
29327,8325,ORorBETA
29327,8326,ORorBETA
29327,8328,ORorBETA
29327,8329,ORorBETA
29327,8330,ORorBETA
29327,8332,ORorBETA
29327,8333,ORorBETA
29327,8335,ORorBETA
29327,8336,ORorBETA
29327,8337,ORorBETA
29327,8338,ORorBETA
29327,8339,ORorBETA
29278,6951,ORorBETA
29278,7520,ORorBETA
29354,8443,ORorBETA
29354,8444,ORorBETA
29287,8512,ORorBETA
29287,8513,ORorBETA
29370,8519,ORorBETA
29380,8562,ORorBETA
29380,8563,ORorBETA
29380,8564,ORorBETA
29380,8565,ORorBETA
29321,8567,ORorBETA
29321,8568,ORorBETA
29321,8569,ORorBETA
29321,8570,ORorBETA
29321,8571,ORorBETA
29321,8572,ORorBETA
29321,8573,ORorBETA
29321,8574,ORorBETA
29321,8575,ORorBETA
29321,8576,ORorBETA
29321,8577,ORorBETA
29321,8578,ORorBETA
29321,8579,ORorBETA
29321,8580,ORorBETA
29321,8581,ORorBETA
29321,8582,ORorBETA
29321,8583,ORorBETA
29321,8584,ORorBETA
29321,8585,ORorBETA
29321,8586,ORorBETA
29321,8587,ORorBETA
29321,8588,ORorBETA
29321,8589,ORorBETA
29321,8590,ORorBETA
29321,8591,ORorBETA
29321,8592,ORorBETA
29321,8593,ORorBETA
29321,8594,ORorBETA
29321,8595,ORorBETA
29321,8596,ORorBETA
29321,8597,ORorBETA
29321,8598,ORorBETA
29321,8599,ORorBETA
29321,8600,ORorBETA
29321,8601,ORorBETA
29321,8602,ORorBETA
29321,8603,ORorBETA
29321,8604,ORorBETA
29321,8605,ORorBETA
29321,8606,ORorBETA
29321,8607,ORorBETA
29321,8608,ORorBETA
29321,8609,ORorBETA
29321,8610,ORorBETA
29321,8611,ORorBETA
29321,8612,ORorBETA
29321,8613,ORorBETA
29321,8614,ORorBETA
29321,8615,ORorBETA
29321,8616,ORorBETA
29321,8617,ORorBETA
29321,8618,ORorBETA
29321,8619,ORorBETA
29321,8620,ORorBETA
29321,8621,ORorBETA
29321,8622,ORorBETA
29321,8623,ORorBETA
29321,8624,ORorBETA
29321,8625,ORorBETA
29321,8626,ORorBETA
29321,8627,ORorBETA
29321,8628,ORorBETA
29321,8629,ORorBETA
29321,8630,ORorBETA
29321,8631,ORorBETA
29321,8632,ORorBETA
29321,8633,ORorBETA
29321,8634,ORorBETA
29321,8635,ORorBETA
29321,8636,ORorBETA
29321,8637,ORorBETA
29321,8638,ORorBETA
29321,8639,ORorBETA
29321,8640,ORorBETA
29321,8641,ORorBETA
29321,8642,ORorBETA
29321,8643,ORorBETA
29321,8644,ORorBETA
29321,8645,ORorBETA
29321,8646,ORorBETA
29321,8647,ORorBETA
29321,8648,ORorBETA
29321,8649,ORorBETA
29321,8650,ORorBETA
29321,8651,ORorBETA
29321,8652,ORorBETA
29321,8653,ORorBETA
29321,8654,ORorBETA
29321,8655,ORorBETA
29321,8656,ORorBETA
29321,8657,ORorBETA
29321,8658,ORorBETA
29321,8659,ORorBETA
29321,8660,ORorBETA
29321,8661,ORorBETA
29321,8662,ORorBETA
29321,8663,ORorBETA
29321,8664,ORorBETA
29321,8665,ORorBETA
29321,8666,ORorBETA
29321,8667,ORorBETA
29321,8668,ORorBETA
29321,8669,ORorBETA
29321,8670,ORorBETA
29321,8671,ORorBETA
29321,8672,ORorBETA
29321,8673,ORorBETA
29321,8674,ORorBETA
29321,8675,ORorBETA
29321,8676,ORorBETA
29321,8677,ORorBETA
29321,8678,ORorBETA
29321,8679,ORorBETA
29321,8680,ORorBETA
29321,8681,ORorBETA
29321,8682,ORorBETA
29321,8683,ORorBETA
29321,8684,ORorBETA
29321,8685,ORorBETA
29321,8686,ORorBETA
29321,8687,ORorBETA
29321,8688,ORorBETA
29321,8689,ORorBETA
29321,8690,ORorBETA
29321,8691,ORorBETA
29321,8692,ORorBETA
29321,8693,ORorBETA
29321,8694,ORorBETA
29321,8695,ORorBETA
29321,8696,ORorBETA
29321,8697,ORorBETA
29321,8698,ORorBETA
29321,8699,ORorBETA
29321,8700,ORorBETA
29321,8701,ORorBETA
29321,8702,ORorBETA
29321,8703,ORorBETA
29321,8704,ORorBETA
29321,8705,ORorBETA
29321,8706,ORorBETA
29321,8707,ORorBETA
29321,8708,ORorBETA
29321,8709,ORorBETA
29321,8710,ORorBETA
29321,8711,ORorBETA
29321,8712,ORorBETA
29321,8713,ORorBETA
