FromID,ToID,Relation_value,Relation_type
40312,21562,0.0197202,ORorBETA
40312,21563,0.0245609,ORorBETA
40312,21564,0.0194482,ORorBETA
40312,17876,0.0312177,ORorBETA
40312,21565,0.023189,ORorBETA
40312,21566,0.0238957,ORorBETA
40312,17105,0.0174035,ORorBETA
40312,21567,0.0216682,ORorBETA
40312,21569,0.0310676,ORorBETA
40312,7050,0.0201678,ORorBETA
40312,21570,0.0211771,ORorBETA
40312,21571,0.0246643,ORorBETA
40312,21572,0.0206461,ORorBETA
40312,21573,0.0235724,ORorBETA
40312,21574,0.0208254,ORorBETA
40312,16905,0.0239071,ORorBETA
40312,21575,0.0223066,ORorBETA
40312,21576,0.0197814,ORorBETA
40312,21577,0.0237224,ORorBETA
40312,19585,0.0306127,ORorBETA
40312,21578,0.0209457,ORorBETA
40312,21579,0.0313037,ORorBETA
40312,21580,0.0177817,ORorBETA
40312,10126,0.0207417,ORorBETA
40312,21581,0.0176998,ORorBETA
40312,21582,0.0313944,ORorBETA
40312,21583,0.0277083,ORorBETA
40312,21585,0.0164744,ORorBETA
40312,21587,0.0210025,ORorBETA
40312,21588,0.0234261,ORorBETA
40312,21589,0.0178692,ORorBETA
40312,20033,0.022757,ORorBETA
40312,21590,0.0244836,ORorBETA
40312,11010,0.0344978,ORorBETA
40312,21591,0.0195923,ORorBETA
40312,21592,0.0188617,ORorBETA
40312,21593,0.0176517,ORorBETA
40312,21398,0.0164853,ORorBETA
40312,21399,0.0201757,ORorBETA
40312,21594,0.0248341,ORorBETA
40312,21595,0.020338,ORorBETA
40312,21596,0.0203006,ORorBETA
40312,15707,0.0224299,ORorBETA
40312,21413,0.0171964,ORorBETA
40312,21416,0.017952,ORorBETA
40312,21597,0.0205728,ORorBETA
40312,16234,0.0299572,ORorBETA
40312,21598,0.0310209,ORorBETA
40312,21599,0.0326707,ORorBETA
40312,14856,0.0338477,ORorBETA
40312,21600,0.0351117,ORorBETA
40312,21601,0.025777,ORorBETA
40312,12583,0.0195735,ORorBETA
40312,21602,0.0902636,ORorBETA
40312,21604,0.0173452,ORorBETA
40312,21605,0.0246281,ORorBETA
40312,21606,0.0223343,ORorBETA
40312,17559,0.0314057,ORorBETA
40312,21607,0.0235731,ORorBETA
40312,9100,0.0207398,ORorBETA
40312,21608,0.0322466,ORorBETA
40312,19763,0.0279205,ORorBETA
40312,21609,0.0206859,ORorBETA
40312,21610,0.0206765,ORorBETA
40312,21611,0.0157901,ORorBETA
40312,21612,0.0242475,ORorBETA
40312,13381,0.0312285,ORorBETA
40312,21613,0.0239145,ORorBETA
40312,21614,0.0312248,ORorBETA
40312,21615,0.0216048,ORorBETA
40312,21617,0.0229135,ORorBETA
40312,21618,0.0179035,ORorBETA
40312,21619,0.0260901,ORorBETA
40312,10736,0.0312717,ORorBETA
40312,21620,0.0247953,ORorBETA
40312,21621,0.0198725,ORorBETA
40312,21622,0.0185525,ORorBETA
40312,21623,0.0237876,ORorBETA
40312,17540,0.0218742,ORorBETA
40312,21624,0.0190514,ORorBETA
40312,21626,0.0165451,ORorBETA
40312,21627,0.0308634,ORorBETA
40312,21628,0.0242388,ORorBETA
40312,21629,0.0191651,ORorBETA
40312,21630,0.028343,ORorBETA
40312,9906,0.018139,ORorBETA
40312,21631,0.0216624,ORorBETA
40312,21632,0.0252366,ORorBETA
40312,21634,0.0256147,ORorBETA
40312,21635,0.0232092,ORorBETA
40312,21636,0.0223072,ORorBETA
40312,21637,0.0269729,ORorBETA
40312,21638,0.0283594,ORorBETA
40312,21639,0.0196371,ORorBETA
40312,21640,0.0303575,ORorBETA
40312,21641,0.0426261,ORorBETA
40312,21642,0.0548397,ORorBETA
40312,21643,0.0228771,ORorBETA
40312,21644,0.0202622,ORorBETA
40312,21645,0.0653082,ORorBETA
40312,21646,0.0193246,ORorBETA
40312,21647,0.0340564,ORorBETA
40312,21648,0.0273048,ORorBETA
40312,21649,0.0179194,ORorBETA
40312,21650,0.017737,ORorBETA
40312,17538,0.0348769,ORorBETA
40312,10699,0.0507,ORorBETA
40312,24710,0.0922,ORorBETA
40312,24711,0.0422,ORorBETA
40312,24712,0.0528,ORorBETA
40312,24713,0.0573,ORorBETA
40312,24714,0.7654,ORorBETA
40312,24716,1.7228,ORorBETA
40312,24742,1.0815,ORorBETA
40312,24744,0.1463,ORorBETA
40312,24746,0.8281,ORorBETA
40312,24748,0.9236,ORorBETA
40312,24750,2.3122,ORorBETA
40312,26297,0.0657382,ORorBETA
40312,23418,0.0613398,ORorBETA
40312,26052,0.0378514,ORorBETA
40312,26298,0.024164,ORorBETA
40312,26299,0.0542949,ORorBETA
40312,26300,0.0312082,ORorBETA
40312,26301,0.0566288,ORorBETA
40312,14700,0.0474047,ORorBETA
40312,26302,0.0220399,ORorBETA
40312,26303,0.0635925,ORorBETA
40312,26305,0.0189421,ORorBETA
40312,20528,0.0332369,ORorBETA
40312,26306,0.0179752,ORorBETA
40312,26307,0.0512316,ORorBETA
40312,26308,0.0313678,ORorBETA
40312,26309,0.0546972,ORorBETA
40312,26310,0.052201,ORorBETA
40312,26311,0.076244,ORorBETA
40312,26312,0.0303392,ORorBETA
40312,26313,0.0289655,ORorBETA
40312,11667,0.0560704,ORorBETA
40312,26314,0.0475091,ORorBETA
40312,26315,0.0419161,ORorBETA
40312,26316,0.021529,ORorBETA
40312,26317,0.0668967,ORorBETA
40312,26318,0.0182228,ORorBETA
40312,15531,0.0471479,ORorBETA
40312,8174,0.0181384,ORorBETA
40312,26319,0.0179433,ORorBETA
40312,8775,0.0180044,ORorBETA
40312,26320,0.0191647,ORorBETA
40312,26321,0.0238512,ORorBETA
40312,26322,0.0202592,ORorBETA
40312,26323,0.0439281,ORorBETA
40312,26324,0.0189614,ORorBETA
40312,24078,0.0245054,ORorBETA
40312,24079,0.0313447,ORorBETA
40312,26325,0.0264253,ORorBETA
40312,14173,0.041695,ORorBETA
40312,26327,0.0412885,ORorBETA
40312,26328,0.0216325,ORorBETA
40312,26329,0.0327577,ORorBETA
40312,18726,0.029011,ORorBETA
40312,26330,0.0320251,ORorBETA
40312,12255,0.028558,ORorBETA
40312,13724,0.0259304,ORorBETA
40312,26331,0.0183024,ORorBETA
40312,26332,0.020185,ORorBETA
40312,26333,0.022378,ORorBETA
40312,26334,0.0230659,ORorBETA
40312,26335,0.0496453,ORorBETA
40312,26336,0.0173208,ORorBETA
40312,14174,0.0179849,ORorBETA
40312,11679,0.034121,ORorBETA
40312,26337,0.0291954,ORorBETA
40312,26338,0.03821,ORorBETA
40312,26339,0.0300541,ORorBETA
40312,26340,0.0198049,ORorBETA
40312,12589,0.0189446,ORorBETA
40312,24004,0.0184048,ORorBETA
40312,26342,0.0222494,ORorBETA
40312,26343,0.0178819,ORorBETA
40312,26344,0.0194123,ORorBETA
40312,26345,0.0730645,ORorBETA
40312,26346,0.076758,ORorBETA
40312,23385,0.0331568,ORorBETA
40312,26347,0.0903477,ORorBETA
40312,8196,0.0328544,ORorBETA
40312,17809,0.0318186,ORorBETA
40312,16023,0.033715,ORorBETA
40312,18616,0.0319715,ORorBETA
40312,10128,0.112091,ORorBETA
40312,24065,0.0291347,ORorBETA
40312,11688,0.0388287,ORorBETA
40312,26351,0.0197016,ORorBETA
40312,17524,0.0213888,ORorBETA
40312,7817,0.0238191,ORorBETA
40312,11200,0.0173001,ORorBETA
40312,26046,0.0247952,ORorBETA
40312,26352,0.0169046,ORorBETA
40312,26353,0.0169044,ORorBETA
40312,26354,0.0207405,ORorBETA
40312,26355,0.0161875,ORorBETA
40312,26356,0.0195547,ORorBETA
40312,26357,0.0169878,ORorBETA
40312,26358,0.0192024,ORorBETA
40312,9898,0.0155173,ORorBETA
40312,26360,0.0192147,ORorBETA
40312,24067,0.0310466,ORorBETA
40312,25199,0.0161364,ORorBETA
40312,26361,0.0181075,ORorBETA
40312,26362,0.0156568,ORorBETA
40312,26363,0.0193157,ORorBETA
40312,12590,0.0179708,ORorBETA
40312,26364,0.0167018,ORorBETA
40312,26365,0.0192985,ORorBETA
40312,26366,0.0179463,ORorBETA
40312,26367,0.0178275,ORorBETA
40312,26368,0.0239503,ORorBETA
40312,14876,0.0182351,ORorBETA
40312,24170,0.0193069,ORorBETA
40312,13588,0.0204972,ORorBETA
40312,8459,0.0242373,ORorBETA
40312,26369,0.0233855,ORorBETA
40312,26370,0.0177127,ORorBETA
40312,19030,0.0252095,ORorBETA
40312,26371,0.0240711,ORorBETA
40312,26372,0.0215821,ORorBETA
40312,26373,0.0192079,ORorBETA
40312,9957,0.0174054,ORorBETA
40312,24091,0.11328,ORorBETA
40312,26374,0.0248803,ORorBETA
40312,26375,0.0176935,ORorBETA
40312,18491,0.0639999,ORorBETA
40312,26376,0.026359,ORorBETA
40312,24092,0.023321,ORorBETA
40312,10387,0.0234201,ORorBETA
40312,23189,0.0730183,ORorBETA
40312,24093,0.0293832,ORorBETA
40312,24095,0.0458494,ORorBETA
40312,26377,0.0182683,ORorBETA
40312,23672,0.0313099,ORorBETA
40312,18635,0.0204867,ORorBETA
40312,18634,0.0402978,ORorBETA
40312,21385,0.0989395,ORorBETA
40312,21386,0.0658492,ORorBETA
40312,24064,0.0243722,ORorBETA
40312,18632,0.0585615,ORorBETA
40312,21388,0.0943975,ORorBETA
40312,26378,0.0180727,ORorBETA
40312,26380,0.0184233,ORorBETA
40312,26381,0.0165034,ORorBETA
40312,21368,0.0172149,ORorBETA
40312,19025,0.0194396,ORorBETA
40312,26383,0.0453583,ORorBETA
40312,26384,0.0347264,ORorBETA
40312,20677,0.0456226,ORorBETA
40312,26385,0.0451794,ORorBETA
40312,26386,0.0395118,ORorBETA
40312,26387,0.0404592,ORorBETA
40312,26388,0.0188082,ORorBETA
40312,26389,0.035986,ORorBETA
40312,26390,0.0319361,ORorBETA
40312,26391,0.0283625,ORorBETA
40312,26392,0.0414946,ORorBETA
40312,11332,0.0221277,ORorBETA
40312,24173,0.016666,ORorBETA
40312,26394,0.0245437,ORorBETA
40312,26395,0.0224862,ORorBETA
40312,17507,0.0224516,ORorBETA
40312,9812,0.0202419,ORorBETA
40312,22046,0.0189707,ORorBETA
40312,23789,0.0185461,ORorBETA
40312,28590,0.018764,ORorBETA
40312,28591,0.0213533,ORorBETA
40312,28593,0.0360498,ORorBETA
40312,28594,0.0224498,ORorBETA
40312,28595,0.0226003,ORorBETA
40312,28596,0.0271773,ORorBETA
40312,28597,0.0206882,ORorBETA
40312,28598,0.0191109,ORorBETA
40312,23670,0.0210221,ORorBETA
40312,25585,0.0266126,ORorBETA
40312,28599,0.0270941,ORorBETA
40312,28600,0.0184452,ORorBETA
40312,24698,0.0204551,ORorBETA
40312,28601,0.0307796,ORorBETA
40312,28602,0.0219268,ORorBETA
40312,28603,0.0312768,ORorBETA
40312,28604,0.0322792,ORorBETA
40312,28605,0.0230323,ORorBETA
40312,10353,0.0362087,ORorBETA
40312,23966,0.0283497,ORorBETA
40312,16707,0.0238952,ORorBETA
40312,6662,0.0237023,ORorBETA
40312,28606,0.0335225,ORorBETA
40312,28607,0.0276631,ORorBETA
40312,28608,0.0349774,ORorBETA
40312,28609,0.0218943,ORorBETA
40312,28610,0.0216263,ORorBETA
40312,28611,0.0296528,ORorBETA
40312,23276,0.028162,ORorBETA
40312,28612,0.0221393,ORorBETA
40312,28613,0.0265014,ORorBETA
40312,28614,0.0188501,ORorBETA
40312,8797,0.0189605,ORorBETA
40312,28615,0.0295293,ORorBETA
40312,28616,0.0288475,ORorBETA
40312,23281,0.0202182,ORorBETA
40312,28617,0.026028,ORorBETA
40312,28618,0.0204683,ORorBETA
40312,21109,0.0284303,ORorBETA
40312,21009,0.0213066,ORorBETA
40312,28619,0.0207917,ORorBETA
40312,28620,0.0377962,ORorBETA
40312,14860,0.0243425,ORorBETA
40312,23282,0.0177635,ORorBETA
40312,23614,0.0172826,ORorBETA
40312,23615,0.018086,ORorBETA
40312,28621,0.023019,ORorBETA
40312,15138,0.0207985,ORorBETA
40312,28622,0.0277879,ORorBETA
40312,28623,0.0207536,ORorBETA
40312,28624,0.0233595,ORorBETA
40312,28625,0.018048,ORorBETA
40312,13893,0.0234399,ORorBETA
40312,28626,0.0194816,ORorBETA
40312,28627,0.0276575,ORorBETA
40312,23259,0.0253333,ORorBETA
40312,16125,0.0274101,ORorBETA
40312,28628,0.0293452,ORorBETA
