FromID,ToID,Relation_type
6622,6623,VEP
6640,6641,VEP
6640,6642,VEP
6640,6643,VEP
6640,6644,VEP
6640,6645,VEP
6651,6652,VEP
6622,6653,VEP
6640,6669,VEP
6670,6671,VEP
6504,6671,VEP
6672,6671,VEP
6673,6671,VEP
6749,6750,VEP
6751,6752,VEP
6753,6752,VEP
6807,6808,VEP
6809,6808,VEP
6810,6808,VEP
6811,6812,VEP
683,6813,VEP
3806,6814,VEP
6815,6816,VEP
6704,6825,VEP
6704,6826,VEP
6848,6849,VEP
6871,6872,VEP
6873,6874,VEP
6875,6876,VEP
1705,7000,VEP
7001,7000,VEP
7025,7026,VEP
7030,7031,VEP
7032,7031,VEP
7030,7033,VEP
7032,7033,VEP
7034,7035,VEP
7036,7035,VEP
7034,7037,VEP
7036,7037,VEP
7038,7039,VEP
7040,7039,VEP
7038,7041,VEP
7040,7041,VEP
369,7042,VEP
6815,7042,VEP
369,7043,VEP
6815,7043,VEP
6670,7044,VEP
7045,7044,VEP
6670,7046,VEP
7045,7046,VEP
4633,7047,VEP
6672,7047,VEP
4633,7048,VEP
6672,7048,VEP
6672,7049,VEP
6672,7050,VEP
7100,7101,VEP
7147,7153,VEP
7175,7176,VEP
6765,7177,VEP
7178,7177,VEP
7179,7177,VEP
7036,7180,VEP
6737,7184,VEP
6622,7219,VEP
6622,7220,VEP
6622,7221,VEP
6622,7222,VEP
7223,7224,VEP
6622,7225,VEP
7226,7227,VEP
6622,7228,VEP
6622,7229,VEP
6765,7230,VEP
7231,7232,VEP
6622,7233,VEP
6622,7234,VEP
7235,7236,VEP
7276,7277,VEP
7278,7279,VEP
6869,7280,VEP
7281,7280,VEP
6869,7282,VEP
6706,7283,VEP
7284,7285,VEP
7286,7287,VEP
1220,7288,VEP
7289,7290,VEP
7010,7291,VEP
7292,7293,VEP
6640,7304,VEP
6622,7305,VEP
6848,7339,VEP
7348,7349,VEP
7350,7351,VEP
6990,7351,VEP
7362,7363,VEP
7364,7363,VEP
7094,7372,VEP
7316,7399,VEP
7414,7415,VEP
7032,7416,VEP
7032,7417,VEP
7419,7420,VEP
7421,7422,VEP
7423,7424,VEP
6640,7433,VEP
6640,7434,VEP
6640,7435,VEP
6640,7436,VEP
6651,7437,VEP
6640,7438,VEP
7439,7440,VEP
6839,7440,VEP
7504,7505,VEP
6598,7514,VEP
7012,7515,VEP
7527,7528,VEP
6622,7534,VEP
6622,7535,VEP
6622,7536,VEP
6622,7537,VEP
6720,7549,VEP
7072,7649,VEP
672,7650,VEP
6867,7650,VEP
6184,7651,VEP
7470,7660,VEP
6706,6705,VEP
7334,7666,VEP
7335,7666,VEP
6640,7668,VEP
6640,7669,VEP
6640,7670,VEP
6640,7671,VEP
6640,7672,VEP
7674,7675,VEP
6640,7684,VEP
6640,7685,VEP
6640,7686,VEP
6640,7687,VEP
6640,7688,VEP
6640,7689,VEP
6640,7690,VEP
6640,7691,VEP
6640,7692,VEP
6640,7693,VEP
6640,7694,VEP
6640,7695,VEP
6640,7696,VEP
6640,7697,VEP
6640,7698,VEP
6640,7699,VEP
6640,7704,VEP
6640,7705,VEP
7454,7724,VEP
6622,7725,VEP
6572,7735,VEP
6622,7736,VEP
6622,7737,VEP
6622,7738,VEP
6622,7739,VEP
6622,7740,VEP
6747,7743,VEP
6622,7769,VEP
7852,7853,VEP
7872,7873,VEP
7323,7873,VEP
6737,7874,VEP
7875,7874,VEP
7635,7874,VEP
2857,7881,VEP
7882,7881,VEP
1515,7889,VEP
3050,7890,VEP
2303,7891,VEP
7055,7933,VEP
7645,7934,VEP
6795,7963,VEP
6590,6591,VEP
7964,7965,VEP
6748,7966,VEP
1377,7967,VEP
6916,7968,VEP
6748,7969,VEP
6676,7972,VEP
6706,7973,VEP
683,7974,VEP
683,7975,VEP
6640,7976,VEP
6950,7977,VEP
7978,7977,VEP
6957,7520,VEP
7941,7979,VEP
6953,7980,VEP
6957,7983,VEP
6640,7984,VEP
6640,7985,VEP
6953,7981,VEP
7956,7988,VEP
6640,7989,VEP
6640,8021,VEP
6640,8022,VEP
6640,8023,VEP
6640,8024,VEP
6640,8025,VEP
6640,8026,VEP
6640,8027,VEP
6640,8028,VEP
6640,8029,VEP
6640,8030,VEP
6640,8031,VEP
6640,8032,VEP
6640,8033,VEP
6640,8034,VEP
6640,8035,VEP
6640,8036,VEP
6640,8037,VEP
6640,8038,VEP
6640,8039,VEP
6640,8040,VEP
6640,8073,VEP
6640,8074,VEP
6640,8075,VEP
6640,8076,VEP
6640,8077,VEP
6640,8078,VEP
6640,8079,VEP
6640,8080,VEP
6640,8081,VEP
6640,8082,VEP
6640,8083,VEP
6640,8084,VEP
6640,8085,VEP
6640,8086,VEP
6640,8087,VEP
6640,8088,VEP
6640,8089,VEP
6640,8090,VEP
6640,8091,VEP
6640,8092,VEP
6640,8093,VEP
6640,8094,VEP
6640,8095,VEP
6640,8096,VEP
6640,8097,VEP
6640,8098,VEP
243,8101,VEP
6823,8104,VEP
6761,8138,VEP
6622,8139,VEP
7457,8140,VEP
6622,8141,VEP
6707,8142,VEP
6622,8143,VEP
6622,8144,VEP
6622,7543,VEP
8145,8146,VEP
6992,8147,VEP
7956,8148,VEP
6950,6951,VEP
7978,6951,VEP
6957,8149,VEP
7941,8150,VEP
6622,8269,VEP
6622,8270,VEP
6640,8294,VEP
8322,6716,VEP
7863,8323,VEP
7461,8324,VEP
6622,8325,VEP
1699,8326,VEP
8327,8328,VEP
6622,8329,VEP
1321,8330,VEP
8331,8332,VEP
7392,8333,VEP
8334,8335,VEP
7392,8336,VEP
7392,8337,VEP
7857,8338,VEP
6622,8339,VEP
8442,8443,VEP
7423,8443,VEP
6622,8444,VEP
6688,8512,VEP
7527,8513,VEP
7645,8519,VEP
7645,8562,VEP
7645,8563,VEP
6706,8564,VEP
7645,8565,VEP
6640,8567,VEP
6640,8568,VEP
6640,8569,VEP
6640,8570,VEP
6640,8571,VEP
6640,8572,VEP
6640,8573,VEP
6640,8574,VEP
6640,8575,VEP
6640,8576,VEP
6640,8577,VEP
6640,8578,VEP
6640,8579,VEP
6640,8580,VEP
6640,8581,VEP
6640,8582,VEP
6640,8583,VEP
6640,8584,VEP
6640,8585,VEP
6640,8586,VEP
6640,8587,VEP
6640,8588,VEP
6640,8589,VEP
6640,8590,VEP
6640,8591,VEP
6640,8592,VEP
6640,8593,VEP
6640,8594,VEP
6640,8595,VEP
6640,8596,VEP
6640,8597,VEP
6640,8598,VEP
6640,8599,VEP
6640,8600,VEP
6640,8601,VEP
6640,8602,VEP
6640,8603,VEP
6640,8604,VEP
6640,8605,VEP
